FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021-05-02 04:20:48,33.93911,67.709953,59939,2631,53272.0,4036.0,Afghanistan,153.97265452437338,4.3894626203306695
,,,Albania,2021-05-02 04:20:48,41.1533,20.1683,131185,2396,110172.0,18617.0,Albania,4558.516922649246,1.826428326409269
,,,Algeria,2021-05-02 04:20:48,28.0339,1.6596,122311,3261,85249.0,33801.0,Algeria,278.9238103184912,2.666154311550065
,,,Andorra,2021-05-02 04:20:48,42.5063,1.5218,13232,125,12684.0,423.0,Andorra,17125.477253607714,0.9446795646916566
,,,Angola,2021-05-02 04:20:48,-11.2027,17.8739,26815,600,23913.0,2302.0,Angola,81.58821074543663,2.2375536080551934
,,,Antigua and Barbuda,2021-05-02 04:20:48,17.0608,-61.7964,1232,32,1014.0,186.0,Antigua and Barbuda,1258.0671513765215,2.5974025974025974
,,,Argentina,2021-05-02 04:20:48,-38.4161,-63.6167,2993865,64096,2655359.0,274410.0,Argentina,6624.214027784056,2.140911497345405
,,,Armenia,2021-05-02 04:20:48,40.0691,45.0382,216596,4128,199115.0,13353.0,Armenia,7309.446368393451,1.905852370311548
,,Australian Capital Territory,Australia,2021-05-02 04:20:48,-35.4735,149.0124,124,3,120.0,1.0,"Australian Capital Territory, Australia",28.965195047886013,2.419354838709677
,,New South Wales,Australia,2021-05-02 04:20:48,-33.8688,151.2093,5484,54,0.0,5430.0,"New South Wales, Australia",67.55358462675535,0.9846827133479212
,,Northern Territory,Australia,2021-05-02 04:20:48,-12.4634,130.8456,166,0,117.0,49.0,"Northern Territory, Australia",67.58957654723127,0.0
,,Queensland,Australia,2021-05-02 04:20:48,-27.4698,153.0251,1564,7,1511.0,46.0,"Queensland, Australia",30.573746456846838,0.4475703324808184
,,South Australia,Australia,2021-05-02 04:20:48,-34.9285,138.6007,725,4,690.0,31.0,"South Australia, Australia",41.27526330771421,0.5517241379310345
,,Tasmania,Australia,2021-05-02 04:20:48,-42.8821,147.3272,234,13,221.0,0.0,"Tasmania, Australia",43.69747899159664,5.5555555555555545
,,Victoria,Australia,2021-05-02 04:20:48,-37.8136,144.9631,20522,820,19679.0,23.0,"Victoria, Australia",309.53709709045387,3.995711918916285
,,Western Australia,Australia,2021-05-02 04:20:48,-31.9505,115.8605,1005,9,970.0,26.0,"Western Australia, Australia",38.20421196685167,0.8955223880597015
,,,Austria,2021-05-02 04:20:48,47.5162,14.5501,620485,10233,587115.0,23137.0,Austria,6889.378664061112,1.6491937758366442
,,,Azerbaijan,2021-05-02 04:20:48,40.1431,47.5769,320322,4538,291564.0,24220.0,Azerbaijan,3159.251122502571,1.416699446182279
,,,Bahamas,2021-05-02 04:20:48,25.025885,-78.035889,10453,199,9494.0,760.0,Bahamas,2658.119049556514,1.903759686214484
,,,Bahrain,2021-05-02 04:20:48,26.0275,50.55,177997,648,166851.0,10498.0,Bahrain,10460.671033972485,0.364051079512576
,,,Bangladesh,2021-05-02 04:20:48,23.685,90.3563,760584,11510,684671.0,64403.0,Bangladesh,461.8294064529952,1.513310824313948
,,,Barbados,2021-05-02 04:20:48,13.1939,-59.5432,3863,44,3783.0,36.0,Barbados,1344.2553354374659,1.1390111312451463
,,,Belarus,2021-05-02 04:20:48,53.7098,27.9534,359982,2552,350433.0,6997.0,Belarus,3809.6070606554695,0.7089243351056441
,,Antwerp,Belgium,2021-05-02 04:20:48,51.2195,4.4024,126959,0,0.0,126959.0,"Antwerp, Belgium",6833.151595329567,0.0
,,Brussels,Belgium,2021-05-02 04:20:48,50.8503,4.3517,122792,0,0.0,122792.0,"Brussels, Belgium",10160.341965773634,0.0
,,East Flanders,Belgium,2021-05-02 04:20:48,51.0362,3.7373,114233,0,0.0,114233.0,"East Flanders, Belgium",7539.8134996277395,0.0
,,Flemish Brabant,Belgium,2021-05-02 04:20:48,50.9167,4.5833,75833,0,0.0,75833.0,"Flemish Brabant, Belgium",6616.179902719916,0.0
,,Hainaut,Belgium,2021-05-02 04:20:48,50.5257,4.0621,146815,0,0.0,146815.0,"Hainaut, Belgium",10921.776675462212,0.0
,,Liege,Belgium,2021-05-02 04:20:48,50.4496,5.8492,121503,0,0.0,121503.0,"Liege, Belgium",10975.960079205632,0.0
,,Limburg,Belgium,2021-05-02 04:20:48,50.9739,5.3420000000000005,54582,0,0.0,54582.0,"Limburg, Belgium",6244.737131141539,0.0
,,Luxembourg,Belgium,2021-05-02 04:20:48,50.0547,5.4677,29056,0,0.0,29056.0,"Luxembourg, Belgium",10208.053738432676,0.0
,,Namur,Belgium,2021-05-02 04:20:48,50.331,4.8221,55329,0,0.0,55329.0,"Namur, Belgium",11192.83871946594,0.0
